tahun,status,nama_sekolah,jumlah_peserta,bahasa_indonesia,bahasa_inggris,matematika,ipa
2015,Negeri,SMP NEGERI 1 BANDUNG,441,86.52,82.32,76.55,76.85
2015,Negeri,SMP NEGERI 2 BANDUNG,284,86.35,88.7,76.64,80.3
2015,Negeri,SMP NEGERI 3 BANDUNG,291,86.15,81.45,75.71,74.76
2015,Negeri,SMP NEGERI 4 BANDUNG,385,84.51,77.83,67.01,70.64
2015,Negeri,SMP NEGERI 5 BANDUNG,333,89.24,91.29,83.17,84.02
2015,Negeri,SMP NEGERI 6 BANDUNG,341,77.16,64.26,48.53,57.63
2015,Negeri,SMP NEGERI 7 BANDUNG,352,86.38,86.28,75.88,79.03
2015,Negeri,SMP NEGERI 8 BANDUNG,317,84.27,80.35,72.97,74.77
2015,Negeri,SMP NEGERI 9 BANDUNG,450,83.44,78.18,67.56,71.58
2015,Negeri,SMP NEGERI 10 BANDUNG,353,78.45,70.27,62.49,64.79
2015,Negeri,SMP NEGERI 11 BANDUNG,448,81.31,74.67,59.14,66.04
2015,Negeri,SMP NEGERI 12 BANDUNG,443,84.87,79.91,69.84,71.68
2015,Negeri,SMP NEGERI 13 BANDUNG,257,86.49,87.4,76.78,80.62
2015,Negeri,SMP NEGERI 14 BANDUNG,346,86.67,84.43,76.16,78.01
2015,Negeri,SMP NEGERI 15 BANDUNG,282,77.69,63.39,50.55,59.87
2015,Negeri,SMP NEGERI 16 BANDUNG,392,80.8,75.14,60.96,64.95
2015,Negeri,SMP NEGERI 17 BANDUNG,420,81.47,75.49,60.86,69.21
2015,Negeri,SMP NEGERI 18 BANDUNG,399,81.42,74.34,64.2,67.22
2015,Negeri,SMP NEGERI 19 BANDUNG,319,74.8,65.56,48.58,56.15
2015,Negeri,SMP NEGERI 20 BANDUNG,353,77.67,70.66,54.31,64.54
2015,Negeri,SMP NEGERI 21 BANDUNG,277,74.09,55.51,43.1,49.65
2015,Negeri,SMP NEGERI 22 BANDUNG,285,81.26,75.27,56.99,61.45
2015,Negeri,SMP NEGERI 23 BANDUNG,278,74.79,59.58,46.1,57
2015,Negeri,SMP NEGERI 24 BANDUNG,461,78.35,61.63,47.35,54.53
2015,Negeri,SMP NEGERI 25 BANDUNG,285,81.21,72.24,62.56,65.5
2015,Negeri,SMP NEGERI 26 BANDUNG,308,79.55,61.69,49.94,56.56
2015,Negeri,SMP NEGERI 27 BANDUNG,362,79.35,73.96,60.48,65.01
2015,Negeri,SMP NEGERI 28 BANDUNG,290,84.82,84.18,69.79,74.66
2015,Negeri,SMP NEGERI 29 BANDUNG,413,73.18,54.62,41.88,53.57
2015,Negeri,SMP NEGERI 30 BANDUNG,392,81.91,77.18,68.07,71.85
2015,Negeri,SMP NEGERI 31 BANDUNG,526,78.63,72.83,63.75,66.73
2015,Negeri,SMP NEGERI 32 BANDUNG,335,74.12,58.36,42.4,54.63
2015,Negeri,SMP NEGERI 33 BANDUNG,340,76.45,64.02,50.49,57.22
2015,Negeri,SMP NEGERI 34 BANDUNG,343,85.43,82.85,71.51,76.8
2015,Negeri,SMP NEGERI 35 BANDUNG,342,76.61,61.94,50.61,59.25
2015,Negeri,SMP NEGERI 36 BANDUNG,283,78.98,67.05,50.4,59.99
2015,Negeri,SMP NEGERI 37 BANDUNG,410,77.02,61.05,47.75,58.93
2015,Negeri,SMP NEGERI 38 BANDUNG,408,75.67,60.36,45.91,54.15
2015,Negeri,SMP NEGERI 39 BANDUNG,231,76.55,64.1,50.88,58.12
2015,Negeri,SMP NEGERI 40 BANDUNG,390,78.73,69.21,52.33,58.69
2015,Negeri,SMP NEGERI 41 BANDUNG,368,77.93,64.99,52.04,59.74
2015,Negeri,SMP NEGERI 42 BANDUNG,392,73.68,63.46,47.83,57.09
2015,Negeri,SMP NEGERI 43 BANDUNG,316,79.56,73.28,58.09,65.8
2015,Negeri,SMP NEGERI 44 BANDUNG,340,83.75,82.33,68.72,72.44
2015,Negeri,SMP NEGERI 45 BANDUNG,424,78.78,67.5,51.2,59.84
2015,Negeri,SMP NEGERI 46 BANDUNG,358,77.33,65.17,51.17,59.2
2015,Negeri,SMP NEGERI 47 BANDUNG,329,78.32,60.15,47.89,53.43
2015,Negeri,SMP NEGERI 48 BANDUNG,358,77.77,73.21,58.07,63.97
2015,Negeri,SMP NEGERI 49 BANDUNG,291,76.09,66.13,52.32,59.14
2015,Negeri,SMP NEGERI 50 BANDUNG,468,78.29,72.01,59.89,67.62
2015,Negeri,SMP NEGERI 51 BANDUNG,422,74.25,64.25,47.95,58.91
2015,Negeri,SMP NEGERI  52 BANDUNG,325,74.16,53.53,39.6,47.1
2015,Negeri,SMP NEGERI 53 KOTA BANDUNG,134,74.93,57.58,47,55.88
2015,Negeri,SMP NEGERI TERBUKA 12 BANDUNG,184,67.74,51.96,40.79,48.18
2015,Negeri,SMP NEGERI TERBUKA 40 BANDUNG,39,65.13,46.67,37.31,48.14
2015,Negeri,SMP NEGERI TERBUKA 27 BANDUNG,280,64.47,44.05,34.89,41.32
2015,Negeri,SMP NEGERI TERBUKA 8 BANDUNG,59,66.98,45.08,34.83,39.36
2015,Negeri,SMP NEGERI TERBUKA  51 BANDUNG,106,68.04,53,37.64,45.64
2015,Negeri,SMP NEGERI TERBUKA 36 BANDUNG,143,59.87,38.83,34,38.58
2015,Negeri,MTs NEGERI BANDUNG,278,74.63,62.78,53.15,59.65
2015,Negeri,MTs NEGERI CICAHEUM,293,78.29,66.6,58.05,62.61
2015,Swasta,SMP BALA KESELAMATAN,4,65,48,33.75,58.13
2015,Swasta,SMP BUDI BAKTI BANDUNG,68,68.59,45.15,37.06,41.62
2015,Swasta,SMP PANDU BANDUNG,61,84.39,77.15,67.91,66.72
2015,Swasta,SMP PASUNDAN 4 BANDUNG,271,66.26,46.56,35.96,42.77
2015,Swasta,SMP PUTRA PAJAJARAN BANDUNG,19,58.53,40.63,34.74,37.63
2015,Swasta,SMP WARINGIN BANDUNG,183,83.97,81.06,69.54,65.81
2015,Swasta,SMP YAQIN BANDUNG,69,69.1,49.19,37.54,47.83
2015,Swasta,SMP YKPPK BANDUNG,9,59.33,37.78,34.44,38.89
2015,Swasta,SMP YPI BANDUNG,24,64.83,43,36.35,37.5
2015,Swasta,SMP K 1 BINA BAKTI BANDUNG,95,83.89,82.74,73.21,67.61
2015,Swasta,SMP K 2 BINA BAKTI BANDUNG,39,85.38,91.44,82.05,77.24
2015,Swasta,SMP K BPK PENABUR 1 BANDUNG,353,89.17,93.43,90.5,85.79
2015,Swasta,SMP K BPPK BANDUNG,36,74.28,53.83,45.56,47.15
2015,Swasta,SMP K PAULUS BANDUNG,18,70.22,68.11,41.25,48.06
2015,Swasta,SMP K TRIMULIA BANDUNG,39,87.08,91.38,86.22,80.19
2015,Swasta,SMP ADVENT II BANDUNG,19,82.95,75.89,57.11,60.13
2015,Swasta,SMP AL-HUSAINIYYAH BANDUNG,52,63.27,41.85,34.66,38.03
2015,Swasta,SMP BINA DHARMA 3 BANDUNG,61,68,44.92,34.1,43.93
2015,Swasta,SMP INDONESIA RAYA BANDUNG,94,68.11,47.49,34.68,44.87
2015,Swasta,SMP KARTIKA XIX-2,215,68.05,48.56,35.15,43.29
2015,Swasta,SMP MIFTAHUL IMAN BANDUNG,69,60.61,41.54,35.07,40.54
2015,Swasta,SMP MUHAMMADIYAH 6 BANDUNG,120,64.7,43.5,34.96,39.19
2015,Swasta,SMP PASUNDAN 3 BANDUNG,311,67.1,48.01,36.42,43.83
2015,Swasta,SMP PASUNDAN 10 BANDUNG,16,64.75,41.13,34.22,42.5
2015,Swasta,SMP PASUNDAN 12 BANDUNG,194,66.75,44.84,35.63,40.23
2015,Swasta,SMP PGRI 2 BANDUNG,108,55.04,39.44,33.77,35.16
2015,Swasta,SMP PGRI 5 BANDUNG,24,65.42,43.58,37.08,39.69
2015,Swasta,SMP SEKOLAH LABORATORIUM UPI,138,81.35,73.38,58.41,63.53
2015,Swasta,SMP K HIDUP BARU BANDUNG,7,73.43,58.86,41.07,46.43
2015,Swasta,SMP ADVENT CIMINDI,41,74.73,63.22,44.57,55
2015,Swasta,SMP ANGKASA LANUD HUSEIN. S,336,75.79,60.09,42.38,50.76
2015,Swasta,SMP BPMD TARUNA BANDUNG,6,74.33,41.33,36.67,42.5
2015,Swasta,SMP KIANSANTANG BANDUNG,21,66.86,47.33,34.88,38.45
2015,Swasta,SMP LPPN BANDUNG,12,66.33,43.83,38.96,40.63
2015,Swasta,SMP MUHAMMADIYAH 2 BANDUNG,33,68.73,44.79,39.17,41.21
2015,Swasta,SMP MUHAMMADIYAH 4 BANDUNG,41,70.05,51.22,36.95,43.9
2015,Swasta,SMP MUTIARA 1 BANDUNG,87,64.99,43.08,35.4,39.94
2015,Swasta,SMP MUTIARA 4 BANDUNG,305,68.39,46.74,35.3,45.91
2015,Swasta,SMP PAJAJARAN 1 BANDUNG,27,61.26,42.74,33.15,35.56
2015,Swasta,SMP PGRI 4,26,63.15,41.77,34.13,38.37
2015,Swasta,SMP RAJAWALI,24,59.5,41.42,35.73,37.92
2015,Swasta,SMP YWKA BANDUNG,101,71.45,52.44,36.88,44.63
2015,Swasta,SMP K BPK PENABUR 5 BANDUNG,180,88.17,85.97,77.35,76.81
2015,Swasta,SMP ADVENT BANDUNG,19,74.84,69.26,52.76,60
2015,Swasta,SMP BPP BANDUNG,112,68.75,48.36,35.83,43.17
2015,Swasta,SMP KRISTEN BAPTIS BANDUNG,40,83,75.8,52.44,65.38
2015,Swasta,SMP PERTIWI BANDUNG,71,66.87,50.14,36.3,44.33
2015,Swasta,SMP SANTA ANGELA BANDUNG,166,87.4,91.7,85.33,79.94
2015,Swasta,SMP SANTO ALOYSIUS 1 BANDUNG,141,85.63,89.67,80.04,78.74
2015,Swasta,SMP KARTIKA SILIWANGI XIX-1,169,74.2,59.5,42.63,54.6
2015,Swasta,SMP PASUNDAN 6 BANDUNG,283,71.18,52.25,38.65,47.35
2015,Swasta,SMP PGII-1 BANDUNG,279,77.14,61.65,43.89,52.13
2015,Swasta,SMP SANTA URSULA BANDUNG,128,87.05,86.39,75.57,75.12
2015,Swasta,SMP SUMATRA 40 BANDUNG,304,74.21,58.59,41.96,50.58
2015,Swasta,SMP TARUNA BAKTI BANDUNG,261,88.3,91.56,82.68,78.05
2015,Swasta,SMP K YAHYA BANDUNG,69,85.1,82.2,68.01,73.77
2015,Swasta,SMP AL-FALAH BANDUNG,226,67.84,44.88,35.72,44.16
2015,Swasta,SMP BUNGA BANGSA BANDUNG,79,63.62,41.8,36.04,38.2
2015,Swasta,SMP DARUL HIKAM BANDUNG,123,85.72,84.29,76.48,76.2
2015,Swasta,SMP ISTIQAMAH BANDUNG,120,83.75,82.92,63.9,70.27
2015,Swasta,SMP KEMAH INDONESIA 4 BANDUNG,54,59.85,39.85,32.73,37.04
2015,Swasta,SMP NASIONAL BANDUNG,166,69.31,46.02,35.54,42.03
2015,Swasta,SMP PASUNDAN 8 BANDUNG,121,67.04,44.03,35.12,41.61
2015,Swasta,SMP PGII 2 BANDUNG,213,77.7,60.8,46.19,54.26
2015,Swasta,SMP PGRI 6 BANDUNG,19,66.95,43.58,36.05,40.79
2015,Swasta,SMP PRIBADI,29,79.72,88.62,67.41,73.45
2015,Swasta,SMP SALMAN AL FARISI BANDUNG,76,87.95,89.66,84.34,79.05
2015,Swasta,SMP KARTIKA X-1 BANDUNG,233,71.51,49.06,38.64,45.85
2015,Swasta,SMP KEMALA BHAYANGKARI BANDUNG,274,67.47,56.22,41.37,50.57
2015,Swasta,SMP MAARIF 1 BANDUNG,44,64,44.23,36.19,41.31
2015,Swasta,SMP MUHAMMADIYAH 1 BANDUNG,49,70.82,54.16,44.44,49.49
2015,Swasta,SMP MUSLIMIN 3 BANDUNG,117,66.6,45.09,35.9,43.55
2015,Swasta,SMP PELITA BANDUNG,287,66.21,44.04,35.24,40.34
2015,Swasta,SMP PGRI 1 BANDUNG,139,65.64,42.78,36.44,40.29
2015,Swasta,SMP PGRI 3 BANDUNG,45,59.47,46.84,35,49.94
2015,Swasta,SMP SANTA MARIA BANDUNG,96,83.54,80.71,54.84,63.13
2015,Swasta,SMP TAMAN SISWA BANDUNG,70,68.17,53.91,42.75,50.86
2015,Swasta,SMP YPU BANDUNG,61,65.21,45.51,36.19,39.22
2015,Swasta,SMP K 4 BPK PENABUR,36,86.06,83.22,70.28,70.97
2015,Swasta,SMP AL HADI BANDUNG,134,67.03,45.33,37.11,42.2
2015,Swasta,SMP AL ISLAM,103,58.33,39.48,32.11,38.71
2015,Swasta,SMP PLUS BAITURRAHMAN,47,65.79,58.77,39.79,48.88
2015,Swasta,SMP BANDUNG INSTITUT,29,59.38,40.34,35.69,37.67
2015,Swasta,SMP BINA PERSADA NUSANTARA,18,60,42,35.28,37.78
2015,Swasta,SMP CENDEKIA MUDA,40,85.05,79.95,70.31,71.69
2015,Swasta,SMP GANTRA BANDUNG,56,59,39.43,36.29,37.63
2015,Swasta,SMP GEMA PANCASILA BANDUNG,20,53.4,40,33.38,39.25
2015,Swasta,SMP GUPPI UJUNG BERUNG,41,66.54,50.44,33.41,51.65
2015,Swasta,SMP KARYA PEMBANGUNAN 10,219,66.05,60.02,46.91,53.93
2015,Swasta,SMP LANGLANGBUANA,76,63.5,39.97,35.82,36.84
2015,Swasta,SMP MUHAMMADIYAH 3 BANDUNG,89,72.94,47.08,39.38,40.11
2015,Swasta,SMP MUTIARA BUNDA,62,81.03,76.19,62.54,65.89
2015,Swasta,SMP PGRI 10 BANDUNG,287,64.04,46.13,34.57,45.6
2015,Swasta,SMP PGRI 11,16,65.38,46.63,35.31,38.28
2015,Swasta,SMP TRIYASA BANDUNG,268,70.4,48.28,37.14,48.59
2015,Swasta,SMP YAYASAN ATIKAN SUNDA,274,73.89,55.45,41.31,49.05
2015,Swasta,SMP AL-GHIFARI,117,69.81,59.5,45.58,52.14
2015,Swasta,SMP AL-HASAN,104,64.1,45.1,36.03,42.16
2015,Swasta,SMP IGN SLAMET RIYADI,74,81.7,78.03,61.22,63.61
2015,Swasta,SMP MADYA BANDUNG,81,63.36,43.68,34.17,40
2015,Swasta,SMP MUHAMMADIYAH 9,83,68.19,45.69,36.17,41.33
2015,Swasta,SMP MUSLIMIN 5 BANDUNG,39,62.31,38.82,32.37,39.81
2015,Swasta,SMP OTISTA,34,63.53,45.88,37.65,39.41
2015,Swasta,SMP PGRI 7 BANDUNG,177,67.24,43.58,35.86,43.63
2015,Swasta,SMP PGRI 9 GEDEBAGE,41,59.37,38.54,31.22,36.59
2015,Swasta,SMP THARIIKUL JANNAH,2,44,44,31.25,37.5
2015,Swasta,SMP TULUS KARTIKA,124,67,47.32,38.99,45.34
2015,Swasta,SMP VIJAYA KUSUMA,387,68.41,48.79,37.93,42.68
2015,Swasta,SMP BINA DHARMA 2 BANDUNG,247,67.09,49.47,37.84,45.9
2015,Swasta,SMP BINA HARAPAN,45,58.93,40.31,33.22,39.78
2015,Swasta,SMP GUNA DHARMA,63,68.06,58.38,46.98,53.21
2015,Swasta,SMP KARYA NUSANTARA,39,66.92,42.46,35.58,39.17
2015,Swasta,SMP LANGLANG BUANA 2,91,62.7,41.78,35.88,42.09
2015,Swasta,SMP MUHAMMADIYAH 5 BANDUNG,48,62.79,38.96,34.06,41.51
2015,Swasta,SMP MUHAMMADIYAH 8 BANDUNG,82,82.63,74.49,50.3,61.65
2015,Swasta,SMP MUHAMMADIYAH 10,97,68.85,46.97,36.55,43.92
2015,Swasta,SMP NUSANTARA RAYA,166,65.08,42.58,34.56,40.06
2015,Swasta,SMP PGRI 8 BANDUNG,15,57.6,40.8,34.5,37.83
2015,Swasta,SMP SANTO  YUSUP,88,80.5,70.93,55.2,61.9
2015,Swasta,SMP ISLAM AL WASHLIYAH,19,69.16,43.37,34.47,42.63
2015,Swasta,SMP BINTANG MULIA,75,87.12,92.8,81.77,76.83
2015,Swasta,SMP BPI 1 BANDUNG,174,76.09,72.38,53.88,61.28
2015,Swasta,SMP BUDI ISTRI BANDUNG,86,59.93,42.65,34.07,38.78
2015,Swasta,SMP NUGRAHA BANDUNG,210,64.3,42.16,33.93,42.19
2015,Swasta,SMP PAHLAWAN TOHA,214,59.11,39.98,33.71,37.87
2015,Swasta,SMP PELITA BANGSA,30,76.53,65.53,54.58,55.08
2015,Swasta,SMP PLUS AL-GOZALI,7,66,43.43,38.93,42.14
2015,Swasta,SMP SANTO ALOYSIUS 2 BANDUNG,104,84.48,88.1,82.19,75.99
2015,Swasta,SMP SEBELAS MARET BANDUNG,79,69.34,46.53,36.42,43.01
2015,Swasta,SMP YAMI BANDUNG,20,57.5,37.9,31.13,36.5
2015,Swasta,SMP YPS SEJATI BANDUNG,5,51.6,38.4,31.5,37
2015,Swasta,SMP YUDHISTIRA,98,62.55,41.31,36.12,38.19
2015,Swasta,SMP K KALAM KUDUS,70,82.91,82.03,65.29,64.82
2015,Swasta,SMP BPK PENABUR HOLIS,166,84.37,86.43,75.44,77.24
2015,Swasta,SMP BPPI BOJONG,33,64.3,44.55,34.47,40.98
2015,Swasta,SMP GAMALIEL,136,84.84,74.5,65.26,65.92
2015,Swasta,SMP GRACIA BANDUNG,32,78.19,62.63,44.14,51.25
2015,Swasta,SMP JENDRAL SUDIRMAN,24,52.42,33.33,31.67,34.58
2015,Swasta,SMP MUTIARA 3 BANDUNG,20,70.5,53.3,43,50.88
2015,Swasta,SMP PASUNDAN 5 BANDUNG,195,66.77,44.74,34.24,40.04
2015,Swasta,SMP PASUNDAN 7 BANDUNG,239,66.01,43.93,36.19,39.78
2015,Swasta,SMP PASUNDAN 9 BANDUNG,199,61.82,38.76,33.67,38.44
2015,Swasta,SMP PLUS SINDANGRESMI,34,69.65,52.88,41.1,48.6
2015,Swasta,SMP SWADAYA 1 BANDUNG,277,66.67,43.59,35.25,42.15
2015,Swasta,SMP SWADAYA 2 BANDUNG,75,59.47,41.47,34.57,38.3
2015,Swasta,SMP YPKKP,205,60.8,39.59,34.62,37.18
2015,Swasta,SMP ASSALAAM,181,77.8,65.2,46.53,58.74
2015,Swasta,SMP COKROAMINOTO BANDUNG,15,59.73,37.33,30.17,38.67
2015,Swasta,SMP DEWI SARTIKA,150,68,48.91,38.02,47.38
2015,Swasta,SMP GANESHA BANDUNG,147,63.32,43.31,35.7,42.02
2015,Swasta,SMP MUHAMMADIYAH 7,36,60.22,41.11,33.4,38.4
2015,Swasta,SMP NUSANTARA BANDUNG,100,63.56,44.38,34.85,39.6
2015,Swasta,SMP PASUNDAN 1 BANDUNG,362,70.19,56.19,41.55,50.48
2015,Swasta,SMP PASUNDAN 2 BANDUNG,304,66.73,51.61,38.2,46.96
2015,Swasta,SMP WYATA DHARMA,52,59.69,45.58,33.17,43.37
2015,Swasta,SMP YOS SUDARSO,96,79.85,70.88,54.09,57.92
2015,Swasta,SMP K REHOBOTH BANDUNG,37,81.08,69.62,49.59,58.92
2015,Swasta,SMP PLUS TEMARA ILMU,3,72.67,38,35.83,48.33
2015,Swasta,SMP AL BIRUNI CERDAS MULIA,40,81.6,76.8,56.31,60.19
2015,Swasta,SMP DAARUL QURAN,7,85.71,78.57,50.71,66.79
2015,Swasta,SMP ALFA CENTAURI,67,85.13,84.24,66.16,70
2015,Swasta,SMP PELITA NUSANTARA,44,83.77,89.82,64.32,70.28
2015,Swasta,SMP TUNAS UNGGUL,31,84.58,83.87,69.6,70.32
2015,Swasta,SMP JUARA,49,76.24,54.73,45.97,56.43
2015,Swasta,SMP HIKMAH TELADAN,49,76.2,71.22,54.18,59.13
2015,Swasta,SMP ISLAM TERPADU BINA INSAN UNGGUL,60,76.4,54.93,50.54,51.88
2015,Swasta,SMP BAHTERA,13,81.08,77.54,60.19,60.96
2015,Swasta,SMP DAARUT TAUHIID BOARDING SCHOOL,140,80.16,63.94,50.89,61.77
2015,Swasta,SMP SETIA BHAKTI,37,67.78,45.51,36.62,51.76
2015,Swasta,MTs AL AMANAH,92,66.28,50.7,49.05,50.98
2015,Swasta,MTs AL HUDA,19,62.74,51.37,49.47,54.34
2015,Swasta,MTs AL ISLAM,21,63.9,50.76,48.81,53.1
2015,Swasta,MTs AL ISTIQOMAH,76,64.84,49.74,48.13,54.28
2015,Swasta,MTs AL MUAWANAH,8,60.75,50,49.69,54.06
2015,Swasta,MTs ARROHMAH,52,71.92,53.69,49.86,53.46
2015,Swasta,MTs ASSUADA,23,59.3,50.09,48.37,53.15
2015,Swasta,MTs ASYSYARIFIYYAH,189,68.25,52.68,49.55,53.65
2015,Swasta,MTs ATTAUFIQ,62,67.45,53.48,55.2,58.02
2015,Swasta,MTs ATTAZHIMIYAH,150,66.97,50.45,48.88,52.95
2015,Swasta,MTs BAABUSSALAAM,109,68.64,52.28,49.7,51.1
2015,Swasta,MTs DAARUR RAHMAH,13,62.31,50.15,48.46,48.65
2015,Swasta,MTs MUHAMMADIYAH,49,65.43,50.86,50.1,53.42
2015,Swasta,MTs NURUL HUDA,36,68.89,52.44,60.07,50.83
2015,Swasta,MTs NURUL IMAN,226,67.35,51.12,49.49,52.64
2015,Swasta,MTs PERSATUAN ISLAM 29,46,70.39,53.48,51.41,54.67
2015,Swasta,MTs SALAFIYAH,31,70.39,50.71,50.32,50.32
2015,Swasta,MTs SIRNAMISKIN,273,67.97,51.76,49.48,53.36
2015,Swasta,MTS AL HASAN,32,67.13,53.13,49.3,54.53
2015,Swasta,MTs AL BURHAN,132,66.42,51.61,50.72,54.3
2015,Swasta,MTs AL INAYAH,156,71.15,53.51,50.69,53.11
2015,Swasta,MTs AL MISHBAH,47,68.68,51.45,50.85,52.77
2015,Swasta,MTs AL MURSYID,26,64.15,51.23,52.69,54.13
2015,Swasta,MTs ARROSYIDIYAH,117,71.18,54.17,49.29,54.23
2015,Swasta,MTs DARUL HIDAYAH,14,57.43,49.43,49.82,48.93
2015,Swasta,MTs KIFAYATUL ACHYAR,268,74.9,54.25,49.94,54.91
2015,Swasta,MTs MANBAUL HUDA,39,77.28,59.64,54.81,56.47
2015,Swasta,MTs MIFTAHUL FALAH,109,63.16,52.51,49.75,53.42
2015,Swasta,MTs MUHAJIRIN,40,59.8,50.55,48.94,52.44
2015,Swasta,MTs MULTAZAM,33,70,50.85,49.47,55.08
2015,Swasta,MTs NUR ROHMAH,9,69.56,49.56,50.83,50.83
2015,Swasta,MTs PERSIS 12,157,73.22,60.22,51.04,54.89
2015,Swasta,MTs YPPS SUKAMISKIN,194,69.59,74.22,65.04,81.49
2015,Swasta,MTs ZAKARIA,87,87.49,79.36,78.94,79.2
2015,Swasta,MTs AL HIKMAH,8,63.25,47.75,47.81,60.94
2015,Swasta,MTS AN NAJIYAH,22,84.64,75.64,61.7,69.32
2015,Swasta,MTs YASIPA,30,67.07,49.47,50.33,52.42
2015,Swasta,MTs AISYAH,44,71.18,51.18,50.06,52.05
2015,Swasta,MTS MIFTAHUL HUDA,31,78.32,69.48,66.13,62.34
2015,Swasta,MTs AZ ZAHRA,32,64,48.44,49.14,53.28
2016,Negeri,SMP NEGERI 1 BANDUNG,410,86.04,81.17,73.95,74.52
2016,Negeri,SMP NEGERI 2 BANDUNG,394,87.23,86.5,74.77,78.98
2016,Negeri,SMP NEGERI 3 BANDUNG,299,85.26,79.97,65.22,75.99
2016,Negeri,SMP NEGERI 4 BANDUNG,295,83.67,74.77,59.62,66.22
2016,Negeri,SMP NEGERI 5 BANDUNG,326,88.77,88.4,77.26,81.4
2016,Negeri,SMP NEGERI 6 BANDUNG,311,79.31,61.53,42.29,55.79
2016,Negeri,SMP NEGERI 7 BANDUNG,390,86.28,82.04,65.9,72.6
2016,Negeri,SMP NEGERI 8 BANDUNG,305,85.6,75.11,60.55,70.73
2016,Negeri,SMP NEGERI 9 BANDUNG,486,83.44,75.34,63,70.64
2016,Negeri,SMP NEGERI 10 BANDUNG,398,79.68,65.22,45.06,58.03
